Cycle 64, cell 229 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2253, cell 12623 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2253, cell 13192 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2253, cell 12638 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2253, cell 13321 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2253, cell 13129 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2253, cell 12874 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2254, cell 12406 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2254, cell 12393 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2254, cell 12142 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2254, cell 12987 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2254, cell 12621 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2255, cell 13396 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2255, cell 12873 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2256, cell 13282 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2256, cell 13159 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2256, cell 13152 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2256, cell 11899 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2257, cell 12402 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2257, cell 12340 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2257, cell 13050 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2257, cell 13394 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12879 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 13268 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12588 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12857 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12817 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 13074 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12443 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12487 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12238 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2258, cell 12337 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 12423 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 13293 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 13010 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 12480 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 13262 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 13253 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 13468 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 13568 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 12884 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 12509 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 13377 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2259, cell 12906 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2260, cell 13160 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2260, cell 12927 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2260, cell 13026 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2260, cell 13007 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2260, cell 13486 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2260, cell 12878 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2260, cell 13300 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2261, cell 12850 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2261, cell 12540 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2261, cell 12424 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2261, cell 12944 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 12757 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 12548 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 11936 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 12808 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 12732 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 12450 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 12843 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 13393 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 12421 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 13212 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2262, cell 13551 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2263, cell 12608 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2263, cell 13625 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2263, cell 13341 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2264, cell 11875 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2264, cell 13512 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2264, cell 13301 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2264, cell 12797 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2264, cell 12586 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2265, cell 13592 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2265, cell 12355 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2265, cell 12860 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2265, cell 13000 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2265, cell 12230 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2265, cell 13728 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2265, cell 12584 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2266, cell 12368 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2266, cell 12451 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2266, cell 12441 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2266, cell 12268 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2266, cell 13560 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 12978 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 13162 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 13544 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 13069 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 12725 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 13095 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 12928 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 12498 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 13251 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 12746 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2267, cell 12893 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2268, cell 12819 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2268, cell 13763 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2268, cell 13175 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2268, cell 13139 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2268, cell 12788 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2268, cell 12499 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2268, cell 13419 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 13518 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 12890 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 12624 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 13216 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 13668 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 12844 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 13811 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 12600 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 13036 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 13168 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2269, cell 13660 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12660 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12945 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12935 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 13573 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12627 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 13467 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12827 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12675 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12474 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2270, cell 12515 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2271, cell 12685 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2271, cell 13442 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2271, cell 12929 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2271, cell 12419 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2271, cell 13614 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 13383 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 13570 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 13102 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 13120 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 13569 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 13033 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 12169 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2272, cell 13703 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 12941 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 13496 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 12668 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 12717 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 13142 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 12909 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 13446 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 13313 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2273, cell 13043 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2274, cell 13209 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2274, cell 13342 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2274, cell 13199 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2274, cell 12823 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2275, cell 12907 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2275, cell 12493 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2275, cell 12649 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 13173 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 13612 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 12898 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 12931 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 13609 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 13311 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 12665 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 13918 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2276, cell 12946 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2277, cell 13648 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2277, cell 13504 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2277, cell 13397 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2277, cell 13030 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2277, cell 12560 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2277, cell 12955 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2277, cell 13526 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2278, cell 12969 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2278, cell 12128 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2278, cell 13189 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2278, cell 12629 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2278, cell 12302 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2278, cell 13186 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2278, cell 13185 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2279, cell 13110 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2279, cell 13280 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2279, cell 13292 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2279, cell 13369 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2279, cell 13801 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2280, cell 13549 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2280, cell 12845 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2280, cell 13124 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2280, cell 12937 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2280, cell 12947 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2280, cell 12829 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2280, cell 13532 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 12953 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 13224 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 12631 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 13859 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 12870 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 13008 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 12876 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2281, cell 13200 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2282, cell 12852 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2282, cell 13577 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2282, cell 13818 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2282, cell 13335 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2282, cell 13656 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2282, cell 12830 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2282, cell 13104 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2283, cell 13428 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2283, cell 13320 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2283, cell 13198 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13172 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13100 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13131 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 12913 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 12367 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13381 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13715 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13521 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 12519 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13098 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13671 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 12820 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13252 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2284, cell 13127 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2285, cell 13289 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2285, cell 13645 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2285, cell 12479 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2285, cell 12031 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2285, cell 11983 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2285, cell 13893 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2285, cell 12648 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 12695 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 12184 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 12708 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 13879 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 12530 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 12901 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 13193 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2286, cell 12537 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2287, cell 12724 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2287, cell 12506 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2287, cell 13006 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2287, cell 12954 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2287, cell 14067 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2288, cell 13696 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 12693 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 12760 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 12933 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 12792 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 13005 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 13438 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 12789 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 13736 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 13632 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 13437 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2289, cell 13261 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2290, cell 12920 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2290, cell 12033 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2290, cell 13305 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2290, cell 13055 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2290, cell 13158 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2291, cell 12739 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2291, cell 12973 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2291, cell 13490 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2291, cell 13119 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2291, cell 13389 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 12301 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 12218 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 13557 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 13517 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 13103 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 13031 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 12484 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2292, cell 13114 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 12587 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 12922 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 12371 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 13337 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 12576 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 12414 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 13456 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2293, cell 13338 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2294, cell 13416 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2294, cell 13210 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2294, cell 13679 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2294, cell 12904 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13653 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 12938 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13285 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13021 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 12859 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13020 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13430 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13331 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13065 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 12718 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13161 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 12440 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 13695 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 2295, cell 12550 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
